correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
s,"importa org.eclipse.jface.databinding.viewers.ObservableSetTreeContentProvider, pacote exato da producao",caminho_exato,0.040014,test-smells-eclipse.platform.ui,/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/viewers/ObservableSetTreeContentProvider.java,/tests/org.eclipse.jface.tests.databinding/src/org/eclipse/jface/tests/databinding/viewers/ObservableSetTreeContentProviderTest.java,caminho_exato,,0,1,https://github.com/cristianritter/test-smells-eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/bundles/org.eclipse.jface.databinding/src/org/eclipse/jface/databinding/viewers/ObservableSetTreeContentProvider.java,https://github.com/cristianritter/test-smells-eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/tests/org.eclipse.jface.tests.databinding/src/org/eclipse/jface/tests/databinding/viewers/ObservableSetTreeContentProviderTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-SapMachine,/src/java.base/share/classes/java/util/concurrent/Executors.java,/test/jdk/java/net/httpclient/http2/NoBodyTest.java,referencia_estatica,wildcard,1,42,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.base/share/classes/java/util/concurrent/Executors.java,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/test/jdk/java/net/httpclient/http2/NoBodyTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-graal,/compiler/src/org.graalvm.compiler.core.common/src/org/graalvm/compiler/core/common/CompilationIdentifier.java,/compiler/src/org.graalvm.compiler.core.test/src/org/graalvm/compiler/core/test/GuardedIntrinsicTest.java,referencia_estatica,import_fqn,1,14,https://github.com/cristianritter/test-smells-graal/blob/4deb681aaaa79c248115037fc8e399c9876619fd/compiler/src/org.graalvm.compiler.core.common/src/org/graalvm/compiler/core/common/CompilationIdentifier.java,https://github.com/cristianritter/test-smells-graal/blob/4deb681aaaa79c248115037fc8e399c9876619fd/compiler/src/org.graalvm.compiler.core.test/src/org/graalvm/compiler/core/test/GuardedIntrinsicTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-geode,/geode-core/src/main/java/org/apache/geode/cache/DataPolicy.java,/geode-core/src/distributedTest/java/org/apache/geode/internal/cache/control/RebalanceOperationDUnitTest.java,referencia_estatica,import_fqn,1,274,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/main/java/org/apache/geode/cache/DataPolicy.java,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/distributedTest/java/org/apache/geode/internal/cache/control/RebalanceOperationDUnitTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-hadoop,/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/JobConf.java,/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/test/java/org/apache/hadoop/mapred/TestTaskProgressReporter.java,referencia_estatica,mesmo_pacote,1,156,https://github.com/cristianritter/test-smells-hadoop/blob/128dd91e10080bdcbcd7d555fa3c4105e55a6b51/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/JobConf.java,https://github.com/cristianritter/test-smells-hadoop/blob/128dd91e10080bdcbcd7d555fa3c4105e55a6b51/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/test/java/org/apache/hadoop/mapred/TestTaskProgressReporter.java
,,referencia_estatica/import_fqn,0.835379,test-smells-camel,/core/camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,/components/camel-jaxb/src/test/java/org/apache/camel/jaxb/DirectBeanToBeanPersonTypeTest.java,referencia_estatica,import_fqn,1,5148,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/core/camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-jaxb/src/test/java/org/apache/camel/jaxb/DirectBeanToBeanPersonTypeTest.java
s,"importa java.util.GregorianCalendar, pacote exato da copia ojluni que e a producao",convencao/caminho_espelhado,0.002964,test-smells-j2objc,/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/GregorianCalendar.java,/jre_emul/android/platform/libcore/luni/src/test/java/libcore/java/util/GregorianCalendarTest.java,convencao,caminho_espelhado,0,8,https://github.com/cristianritter/test-smells-j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/libcore/ojluni/src/main/java/java/util/GregorianCalendar.java,https://github.com/cristianritter/test-smells-j2objc/blob/471504a735b48d5d4ace51afa1542cc4790a921a/jre_emul/android/platform/libcore/luni/src/test/java/libcore/java/util/GregorianCalendarTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-hbase,/hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java,/hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestRSKilledWhenInitializing.java,referencia_estatica,import_fqn,1,27,https://github.com/cristianritter/test-smells-hbase/blob/44f8abd5c65c59e9d09f6ad14b3c825f145d8e4f/hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java,https://github.com/cristianritter/test-smells-hbase/blob/44f8abd5c65c59e9d09f6ad14b3c825f145d8e4f/hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestRSKilledWhenInitializing.java
,,referencia_estatica/wildcard,0.007944,test-smells-spring-security,/acl/src/main/java/org/springframework/security/acls/model/AclService.java,/acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java,referencia_estatica,wildcard,1,4,https://github.com/cristianritter/test-smells-spring-security/blob/8dd2864dea3de5ea98637a1629debc89c29e76c0/acl/src/main/java/org/springframework/security/acls/model/AclService.java,https://github.com/cristianritter/test-smells-spring-security/blob/8dd2864dea3de5ea98637a1629debc89c29e76c0/acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java
,,referencia_estatica/import_fqn,0.835379,test-smells-oozie,/core/src/main/java/org/apache/oozie/executor/jpa/CoordActionQueryExecutor.java,/core/src/test/java/org/apache/oozie/sla/TestSLAService.java,referencia_estatica,import_fqn,1,9,https://github.com/cristianritter/test-smells-oozie/blob/491e73ee9f941dfb25dfe92121fb033295ef42ee/core/src/main/java/org/apache/oozie/executor/jpa/CoordActionQueryExecutor.java,https://github.com/cristianritter/test-smells-oozie/blob/491e73ee9f941dfb25dfe92121fb033295ef42ee/core/src/test/java/org/apache/oozie/sla/TestSLAService.java
