github_repo,status,n_producao,n_testes,n_pares,segundos,detalhe
test-smells-commons-jxpath,OK,2,13,1,2,
test-smells-commons-math,OK,6,404,176,4,
test-smells-commons-net,OK,4,34,6,2,
test-smells-commons-numbers,OK,1,46,1,2,
test-smells-commons-ognl,OK,1,64,1,2,
test-smells-commons-pool,OK,1,23,3,2,
test-smells-commons-proxy,OK,1,27,0,2,
test-smells-commons-text,OK,2,79,9,2,
test-smells-commons-validator,OK,2,31,1,2,
test-smells-commons-vfs,OK,1,81,1,2,
test-smells-concierge,OK,1,21,0,4,
test-smells-conscrypt,OK,2,64,4,2,
test-smells-copybara,OK,1,91,2,2,
test-smells-corrosion,OK,1,11,2,2,
test-smells-creadur-rat,OK,1,45,0,2,
test-smells-crunch,OK,8,100,3,2,
test-smells-curator,OK,2,110,0,3,
test-smells-cxf,OK,29,1414,55,14,
test-smells-cxf-fediz,OK,2,63,1,3,
test-smells-datafu,OK,1,50,0,2,
test-smells-dawnsci,OK,6,72,2,3,
test-smells-defense-solutions-proofs-of-concept,OK,2,15,0,3,
test-smells-deltaspike,OK,4,292,5,3,
test-smells-derby,OK,32,479,407,11,
test-smells-directory-fortress-commander,OK,1,0,0,0,projeto sem classe de teste
test-smells-directory-fortress-core,OK,3,20,0,2,
test-smells-directory-kerby,OK,17,125,12,2,
test-smells-directory-ldap-api,OK,10,341,19,4,
test-smells-directory-server,OK,7,241,3,6,
test-smells-directory-studio,OK,8,54,0,3,
test-smells-ditto,OK,6,804,104,9,
test-smells-dltk.core,OK,30,64,10,3,
test-smells-drill,OK,51,571,63,28,
test-smells-druid,OK,23,928,132,9,
test-smells-eagle,OK,15,330,43,3,
test-smells-eavp,OK,4,23,0,2,
test-smells-eclipse-collections,OK,14,1494,357,7,
test-smells-eclipse-integration-tcserver,OK,1,19,2,2,
test-smells-eclipse.jdt.core,OK,39,500,78,21,
test-smells-eclipse.jdt.ls,OK,5,92,0,2,
test-smells-eclipse.platform.swt,OK,31,114,54,3,
test-smells-eclipse.platform.ui,OK,51,583,10,6,
test-smells-egit,OK,8,181,9,4,
test-smells-egit-github,OK,2,122,2,2,
test-smells-elk,OK,8,39,0,3,
test-smells-empire-db,OK,3,26,2,3,
test-smells-error-prone,OK,5,498,3,5,
test-smells-error-prone-javac,OK,14,423,1,6,
test-smells-facebook-android-sdk,OK,8,77,8,3,
test-smells-facebook-java-business-sdk,OK,20,0,0,0,projeto sem classe de teste
test-smells-falcon,OK,11,215,100,3,
test-smells-fastr,OK,21,662,4,7,
test-smells-fineract,OK,22,81,69,3,
test-smells-fineract-cn-customer,OK,2,10,0,2,
test-smells-fineract-cn-portfolio,OK,1,52,0,21,
test-smells-flink,OK,33,1391,55,225,
test-smells-freemarker,OK,7,129,28,21,
test-smells-fresco,OK,3,167,0,43,
test-smells-gcm,OK,1,6,0,24,
test-smells-gdata-java-client,OK,18,0,0,0,projeto sem classe de teste
test-smells-gef,OK,6,88,8,87,
test-smells-gef-legacy,OK,11,36,3,6,
test-smells-gemoc-studio,OK,3,8,0,13,
test-smells-geode,OK,39,2533,657,102,
test-smells-geometry-api-java,OK,2,56,3,3,
test-smells-geoportal-server-harvester,OK,5,6,0,1,
test-smells-giraph,OK,11,141,11,2,
test-smells-gitiles,OK,1,24,0,1,
test-smells-golo-lang,OK,1,53,2,2,
test-smells-google-authenticator,OK,1,0,0,0,projeto sem classe de teste
test-smells-google-java-format,OK,2,17,0,1,
test-smells-gora,OK,1,54,2,2,
test-smells-graal,OK,71,831,56,9,
test-smells-grails-ide,OK,12,38,5,2,
test-smells-graphouse,OK,2,8,1,1,
test-smells-graphql_java_gen,OK,1,3,0,1,
test-smells-greenhouse,OK,1,18,1,1,
test-smells-griffin,OK,2,30,4,2,
test-smells-groovy,OK,13,60,2,2,
test-smells-gtfs-realtime-bindings,OK,1,1,1,1,
test-smells-guava,OK,16,819,141,6,
test-smells-guice,OK,1,140,14,3,
test-smells-hadoop,OK,61,2915,546,32,
test-smells-hadoop-common,OK,33,1544,330,14,
test-smells-hadoop-mapreduce,OK,7,339,30,4,
test-smells-hama,OK,6,60,7,2,
test-smells-hawkbit,OK,8,116,14,3,
test-smells-hawkbit-extensions,OK,1,2,0,1,
test-smells-hbase,OK,37,1373,355,14,
test-smells-helix,OK,4,325,4,3,
test-smells-hillview,OK,3,65,4,2,
test-smells-hive,OK,81,1020,92,12,
test-smells-hono,OK,5,91,16,2,
test-smells-hover,OK,1,4,0,1,
test-smells-httpcomponents-client,OK,1,150,4,4,
test-smells-httpcomponents-core,OK,5,142,9,3,
test-smells-ibm-cos-sdk-java,OK,10,179,6,2,
test-smells-ignite,OK,49,2366,178,25,
test-smells-incubator-ambari,OK,2,211,4,4,
test-smells-incubator-atlas,OK,5,160,18,2,
test-smells-incubator-batchee,OK,1,86,0,2,
test-smells-incubator-brooklyn,OK,20,719,172,6,
