ramo,code_smell,desfecho,n,rho,p,ic_baixo,ic_alto,rho_com_tamanho
deterministico,agregado,bruto,730,0.09248352878599345,0.01239222938795903,0.02005350203311579,0.16394787595389254,0.5543701641408256
deterministico,agregado,densidade,726,0.04720083842631237,0.20404507251527693,-0.02565161722447579,0.11955457780619955,-0.07707882079395595
deterministico,agregado,distintos,730,0.08350610926377247,0.024018973437394564,0.011008208044606137,0.15513068764185425,0.43256153806495473
deterministico,blob,bruto,196,0.14839622919127082,0.037808713962828255,0.008416066035431113,0.2826722735497361,0.5607999016566375
deterministico,blob,densidade,195,-0.004692022405596971,0.9481620200829612,-0.14511125795378174,0.1359124918460059,-0.10034074824039427
deterministico,blob,distintos,196,0.10011246663021231,0.16287070932229408,-0.040612584788744015,0.2369430562303459,0.3894424359555316
deterministico,data class,bruto,114,0.12415173193248707,0.1885761328728106,-0.06116295311795296,0.3011924830644857,0.4442010080730542
deterministico,data class,densidade,114,0.09550956820607309,0.31281528893326893,-0.08998928343120678,0.2746039965883395,-0.09509782502386449
deterministico,data class,distintos,114,0.17447155395268632,0.06328673855966649,-0.009759726192156806,0.3472470307572355,0.2898913657365739
deterministico,feature envy,bruto,186,0.0688468773448819,0.35091343876065073,-0.0757858120336536,0.21064226058050933,0.530508351220214
deterministico,feature envy,densidade,185,0.0702239215439745,0.34265397177449985,-0.07480516544299946,0.21234381877737935,-0.04633198236204765
deterministico,feature envy,distintos,186,0.09428498435131352,0.20080431873797044,-0.05027906532582925,0.23497924569873027,0.415210575378829
deterministico,long method,bruto,251,0.11745337760267847,0.06313575367140811,-0.006462040497022759,0.237816197142183,0.5705863743589502
deterministico,long method,densidade,249,0.0817367010850662,0.1988424319494806,-0.043019009929556686,0.20398253297944305,-0.10803119709459245
deterministico,long method,distintos,251,0.08760175473845014,0.1666344873894472,-0.036616866563585246,0.20915450008828185,0.4720991914109349
