ramo,desfecho,n_confirmado,n_disputado,mediana_confirmado,mediana_disputado,delta,p,p_ajustado,delta_detectavel
ampliado,bruto,76,293,46.0,28.0,0.102254,0.169368,0.508104,0.208499
ampliado,densidade,75,291,1.5056,1.4118,0.041191,0.582164,0.582164,0.209749
ampliado,distintos,76,293,5.0,5.0,0.063499,0.391039,0.582164,0.208499
deterministico,bruto,42,155,18.0,18.0,0.01321,0.895573,0.895573,0.282088
deterministico,densidade,41,154,1.5517,1.8654,-0.039278,0.699338,0.895573,0.284983
deterministico,distintos,42,155,5.0,4.0,0.076344,0.445232,0.895573,0.282088
