ramo,desfecho,n_positivo,n_negativo,mediana_positivo,mediana_negativo,delta,p,p_ajustado
ampliado,bruto,76,976,46.0,27.0,0.083909,0.222431,0.667292
ampliado,densidade,75,975,1.5056,1.5434,0.029224,0.672825,0.672825
ampliado,distintos,76,976,5.0,5.0,0.038773,0.571296,0.672825
deterministico,bruto,42,523,18.0,14.0,0.112947,0.222657,0.333985
deterministico,densidade,41,521,1.5517,1.6087,0.031553,0.736303,0.736303
deterministico,distintos,42,523,5.0,4.0,0.154193,0.093975,0.281924
